"resolved_at","agent","ticket_id","created_at","priority","num_interactions","issuecat","status","channel"
\N,"Ananya","TCK0702003","2025-07-02 00:43:00.000000000","Medium",2,"Bug Report","Open","Chat"
"2025-07-03 05:21:00.000000000","Rohit","TCK0702004","2025-07-02 01:36:00.000000000","Low",6,"Payment Failure","Resolved","Phone"
"2025-07-03 05:21:00.000000000","Rohit","TCK0702004","2025-07-02 01:36:00.000000000","Low",6,"Payment Failure","Resolved","Phone"
"2025-07-02 16:50:00.000000000","Kavya","TCK0702005","2025-07-02 01:53:00.000000000","Medium",3,"Account Locked","Resolved","Email"
"2025-07-02 08:57:00.000000000","Kavya","TCK0702006","2025-07-02 03:44:00.000000000","High",1,"Feature Request","Resolved","Phone"
"2025-07-03 00:06:00.000000000","Sneha","TCK0702007","2025-07-02 04:09:00.000000000","Medium",7,"Feature Request","Resolved","Web Form"
"2025-07-02 17:53:00.000000000","Kavya","TCK0702008","2025-07-02 04:29:00.000000000","Medium",7,"Login Issue","Resolved","Email"
"2025-07-02 17:53:00.000000000","Kavya","TCK0702008","2025-07-02 04:29:00.000000000","Medium",7,"Login Issue","Resolved","Email"
"2025-07-03 00:26:00.000000000","Rohit","TCK0702009","2025-07-02 05:16:00.000000000","Medum",6,"Login Issue","Resolved","Web Form"
"2025-07-02 12:59:00.000000000","Ananya","TCK0702011","2025-07-02 06:21:00.000000000","Medium",3,"Account Locked","Resolved","Web Form"
"2025-07-02 11:02:00.000000000","Kavya","TCK0702012","2025-07-02 06:37:00.000000000","High",7,"Account Locked","Resolved","Phone"
"2025-07-02 09:25:00.000000000","Kavya","TCK0702013","2025-07-02 07:07:00.000000000","Low",3,"Bug Report","Resolved","Email"
"2025-07-02 10:35:00.000000000","Arjun","TCK0702015","2025-07-02 07:50:00.000000000","Medum",4,"Login Issue","Resolved","Phone"
"2025-07-03 14:41:00.000000000","Kavya","TCK0702016","2025-07-02 07:56:00.000000000","Low",1,"Bug Report","Resolved","Phone"
\N,"Rohit","TCK0702017","2025-07-02 08:26:00.000000000","High",7,"Payment Failure","Open","Chat"
"2025-07-03 16:52:00.000000000","Arjun","TCK0702018","2025-07-02 08:27:00.000000000","Low",8,"Payment Failure","Resolved","Email"
"2025-07-03 15:10:00.000000000","Ananya","TCK0702019","2025-07-02 08:44:00.000000000","High",1,"Feature Request","Resolved","Web Form"
"2025-07-03 01:22:00.000000000","Sneha","TCK0702020","2025-07-02 09:02:00.000000000","Medum",4,"Account Locked","Resolved","Phone"
"2025-07-03 17:09:00.000000000","Arjun","TCK0702022","2025-07-02 09:31:00.000000000","Low",7,"Feature Request","Resolved","Chat"
"2025-07-02 12:39:00.000000000","Kavya","TCK0702023","2025-07-02 09:33:00.000000000","Medium",4,"Feature Request","Resolved","Phone"
"2025-07-03 08:37:00.000000000","Sneha","TCK0702026","2025-07-02 10:52:00.000000000","Low",5,"Account Locked","Escalated","Chat"
"2025-07-03 01:13:00.000000000","Arjun","TCK0702027","2025-07-02 10:57:00.000000000","Medium",5,"Feature Request","Resolved","Chat"
"2025-07-03 15:04:00.000000000","Rohit","TCK0702028","2025-07-02 11:28:00.000000000","Lw",3,"Feature Request","Resolved","Phone"
"2025-07-03 01:58:00.000000000","Arjun","TCK0703000","2025-07-03 00:25:00.000000000","Lw",2,"Feature Request","Resolved","Chat"
"2025-07-03 12:26:00.000000000","Sneha","TCK0703002","2025-07-03 01:19:00.000000000","Lw",1,"Feature Request","Resolved","Email"
\N,"Arjun","TCK0703003","2025-07-03 03:00:00.000000000","Medum",2,"Feature Request","Open","Web Form"
"2025-07-03 16:08:00.000000000","Sneha","TCK0703004","2025-07-03 03:14:00.000000000","Medium",6,"Login Issue","Resolved","Chat"
"2025-07-03 16:08:00.000000000","Sneha","TCK0703004","2025-07-03 03:14:00.000000000","Medium",6,"Login Issue","Resolved","Chat"
"2025-07-03 17:32:00.000000000","Arjun","TCK0703005","2025-07-03 03:57:00.000000000","Medium",1,"Account Locked","Resolved","Email"
"2025-07-04 07:43:00.000000000","Ananya","TCK0703006","2025-07-03 04:39:00.000000000","High",8,"Bug Report","Resolved","Email"
"2025-07-03 16:29:00.000000000","Sneha","TCK0703007","2025-07-03 05:50:00.000000000","High",2,"Payment Failure","Resolved","Phone"
"2025-07-03 22:53:00.000000000","Ananya","TCK0703008","2025-07-03 05:55:00.000000000","Lw",2,"Login Issue","Resolved","Web Form"
"2025-07-03 17:32:00.000000000","Ananya","TCK0703009","2025-07-03 06:19:00.000000000","Medium",1,"Payment Failure","Resolved","Chat"
"2025-07-03 16:03:00.000000000","Rohit","TCK0703010","2025-07-03 06:27:00.000000000","Low",5,"Feature Request","Resolved","Web Form"
"2025-07-03 11:11:00.000000000","Arjun","TCK0703011","2025-07-03 06:30:00.000000000","Medium",3,"Feature Request","Resolved","Phone"
"2025-07-04 06:49:00.000000000","Rohit","TCK0703013","2025-07-03 07:35:00.000000000","Medium",1,"Bug Report","Resolved","Chat"
"2025-07-04 14:57:00.000000000","Rohit","TCK0703014","2025-07-03 07:51:00.000000000","Medium",5,"Payment Failure","Resolved","Chat"
"2025-07-03 21:18:00.000000000","Kavya","TCK0703015","2025-07-03 08:05:00.000000000","Medium",7,"Login Issue","Resolved","Phone"
\N,"Kavya","TCK0703017","2025-07-03 10:26:00.000000000","Low",6,"Bug Report","Open","Phone"
"2025-07-03 17:17:00.000000000","Rohit","TCK0703019","2025-07-03 11:05:00.000000000","Medium",1,"Bug Report","Resolved","Web Form"
"2025-07-04 02:26:00.000000000","Ananya","TCK0703020","2025-07-03 11:17:00.000000000","Medium",5,"Feature Request","Resolved","Email"
"2025-07-03 12:37:00.000000000","Arjun","TCK0703021","2025-07-03 11:28:00.000000000","Medium",1,"Bug Report","Resolved","Phone"
"2025-07-03 19:47:00.000000000","Kavya","TCK0703022","2025-07-03 11:38:00.000000000","Medium",4,"Account Locked","Resolved","Web Form"
"2025-07-04 15:23:00.000000000","Kavya","TCK0703023","2025-07-03 11:59:00.000000000","Medum",6,"Feature Request","Resolved","Email"
"2025-07-04 18:23:00.000000000","Kavya","TCK0704000","2025-07-04 00:15:00.000000000","Medium",3,"Bug Report","Resolved","Chat"
"2025-07-04 18:23:00.000000000","Kavya","TCK0704000","2025-07-04 00:15:00.000000000","Medium",3,"Bug Report","Resolved","Chat"
"2025-07-04 06:10:00.000000000","Ananya","TCK0704001","2025-07-04 00:27:00.000000000","Medium",8,"Bug Report","Resolved","Email"
"2025-07-04 07:29:00.000000000","Kavya","TCK0704002","2025-07-04 00:30:00.000000000","Low",1,"Login Issue","Resolved","Email"
"2025-07-04 06:59:00.000000000","Rohit","TCK0704003","2025-07-04 00:35:00.000000000","Lw",3,"Account Locked","Resolved","Email"
"2025-07-04 06:59:00.000000000","Rohit","TCK0704003","2025-07-04 00:35:00.000000000","Lw",3,"Account Locked","Resolved","Email"
\N,"Arjun","TCK0704005","2025-07-04 02:37:00.000000000","Low",4,"Feature Request","Open","Email"
"2025-07-05 07:31:00.000000000","Sneha","TCK0704006","2025-07-04 02:39:00.000000000","Lw",8,"Payment Failure","Resolved","Chat"
"2025-07-05 12:39:00.000000000","Kavya","TCK0704007","2025-07-04 02:41:00.000000000","Medium",5,"Login Issue","Resolved","Email"
"2025-07-04 07:02:00.000000000","Ananya","TCK0704008","2025-07-04 04:16:00.000000000","Medium",7,"Payment Failure","Resolved","Phone"
"2025-07-04 09:10:00.000000000","Kavya","TCK0704009","2025-07-04 04:50:00.000000000","Medium",6,"Bug Report","Resolved","Chat"
"2025-07-05 11:18:00.000000000","Sneha","TCK0704010","2025-07-04 06:11:00.000000000","Hgh",7,"Feature Request","Resolved","Chat"
"2025-07-05 02:44:00.000000000","Sneha","TCK0704014","2025-07-04 07:05:00.000000000","Medum",6,"Login Issue","Resolved","Email"
"2025-07-04 13:52:00.000000000","Sneha","TCK0704015","2025-07-04 07:20:00.000000000","High",3,"Login Issue","Resolved","Web Form"
"2025-07-04 10:35:00.000000000","Kavya","TCK0704016","2025-07-04 07:24:00.000000000","High",4,"Account Locked","Escalated","Email"
"2025-07-04 13:48:00.000000000","Arjun","TCK0704017","2025-07-04 07:48:00.000000000","High",2,"Bug Report","Resolved","Email"
\N,"Sneha","TCK0704019","2025-07-04 08:40:00.000000000","Low",7,"Account Locked","Open","Chat"
"2025-07-04 14:24:00.000000000","Kavya","TCK0704020","2025-07-04 09:08:00.000000000","Low",1,"Payment Failure","Escalated","Chat"
"2025-07-05 11:28:00.000000000","Sneha","TCK0704021","2025-07-04 09:18:00.000000000","Hgh",1,"Login Issue","Resolved","Chat"
"2025-07-04 12:19:00.000000000","Sneha","TCK0704022","2025-07-04 10:34:00.000000000","High",2,"Account Locked","Resolved","Email"
\N,"Arjun","TCK0704023","2025-07-04 10:49:00.000000000","Low",7,"Feature Request","Open","Phone"
"2025-07-05 18:30:00.000000000","Rohit","TCK0704024","2025-07-04 11:33:00.000000000","Medium",8,"Payment Failure","Resolved","Email"
"2025-07-05 20:44:00.000000000","Ananya","TCK0705000","2025-07-05 01:01:00.000000000","Medium",6,"Bug Report","Resolved","Chat"
"2025-07-05 23:06:00.000000000","Kavya","TCK0705001","2025-07-05 01:31:00.000000000","Low",8,"Login Issue","Resolved","Phone"
"2025-07-05 17:10:00.000000000","Sneha","TCK0705002","2025-07-05 01:53:00.000000000","Medum",2,"Payment Failure","Resolved","Chat"
"2025-07-05 17:10:00.000000000","Sneha","TCK0705002","2025-07-05 01:53:00.000000000","Medum",2,"Payment Failure","Resolved","Chat"
"2025-07-06 09:57:00.000000000","Sneha","TCK0705003","2025-07-05 03:45:00.000000000","Medium",6,"Feature Request","Resolved","Phone"
\N,"Arjun","TCK0705004","2025-07-05 04:24:00.000000000","Medium",2,"Account Locked","Open","Email"
"2025-07-06 08:36:00.000000000","Arjun","TCK0705005","2025-07-05 04:54:00.000000000","High",1,"Account Locked","Resolved","Phone"
"2025-07-05 07:31:00.000000000","Rohit","TCK0705007","2025-07-05 05:54:00.000000000","Hgh",4,"Payment Failure","Resolved","Phone"
"2025-07-05 15:01:00.000000000","Arjun","TCK0705010","2025-07-05 07:14:00.000000000","Medium",6,"Login Issue","Resolved","Chat"
"2025-07-06 06:07:00.000000000","Kavya","TCK0705011","2025-07-05 07:43:00.000000000","Low",6,"Feature Request","Resolved","Email"
"2025-07-06 01:53:00.000000000","Rohit","TCK0705012","2025-07-05 07:44:00.000000000","Medium",7,"Login Issue","Resolved","Chat"
\N,"Ananya","TCK0705013","2025-07-05 07:49:00.000000000","High",6,"Bug Report","Open","Web Form"
"2025-07-05 21:20:00.000000000","Ananya","TCK0705014","2025-07-05 09:19:00.000000000","Low",6,"Payment Failure","Resolved","Phone"
\N,"Ananya","TCK0705015","2025-07-05 10:20:00.000000000","Low",6,"Account Locked","Open","Email"
"2025-07-06 18:19:00.000000000","Arjun","TCK0705016","2025-07-05 10:22:00.000000000","High",4,"Feature Request","Resolved","Phone"
"2025-07-06 12:11:00.000000000","Kavya","TCK0705018","2025-07-05 11:12:00.000000000","Hgh",2,"Feature Request","Resolved","Email"
"2025-07-05 14:11:00.000000000","Arjun","TCK0705019","2025-07-05 11:52:00.000000000","Medum",5,"Payment Failure","Resolved","Phone"
"2025-07-05 14:11:00.000000000","Arjun","TCK0705019","2025-07-05 11:52:00.000000000","Medum",5,"Payment Failure","Resolved","Phone"
"2025-07-07 04:12:00.000000000","Kavya","TCK0706000","2025-07-06 00:42:00.000000000","Low",3,"Feature Request","Resolved","Chat"
"2025-07-07 11:27:00.000000000","Ananya","TCK0706002","2025-07-06 00:51:00.000000000","Medium",3,"Account Locked","Resolved","Phone"
\N,"Arjun","TCK0706003","2025-07-06 00:57:00.000000000","Medium",1,"Login Issue","Open","Web Form"
\N,"Rohit","TCK0706004","2025-07-06 01:56:00.000000000","Medium",5,"Account Locked","Open","Phone"
"2025-07-06 21:45:00.000000000","Kavya","TCK0706005","2025-07-06 02:26:00.000000000","High",4,"Account Locked","Resolved","Email"
"2025-07-07 07:33:00.000000000","Arjun","TCK0706006","2025-07-06 03:45:00.000000000","Medum",8,"Payment Failure","Resolved","Web Form"
\N,"Kavya","TCK0706007","2025-07-06 04:05:00.000000000","Hgh",4,"Account Locked","Open","Email"
"2025-07-06 23:32:00.000000000","Ananya","TCK0706009","2025-07-06 05:06:00.000000000","Medium",2,"Account Locked","Resolved","Phone"
"2025-07-06 23:32:00.000000000","Ananya","TCK0706009","2025-07-06 05:06:00.000000000","Medium",2,"Account Locked","Resolved","Phone"
"2025-07-06 08:22:00.000000000","Rohit","TCK0706010","2025-07-06 05:44:00.000000000","Medium",1,"Account Locked","Resolved","Email"
"2025-07-06 15:21:00.000000000","Arjun","TCK0706011","2025-07-06 07:11:00.000000000","Lw",8,"Payment Failure","Resolved","Email"
"2025-07-07 14:53:00.000000000","Rohit","TCK0706014","2025-07-06 08:15:00.000000000","Medum",3,"Account Locked","Resolved","Web Form"
"2025-07-07 13:14:00.000000000","Ananya","TCK0706015","2025-07-06 08:29:00.000000000","Medium",2,"Feature Request","Resolved","Email"
"2025-07-07 12:46:00.000000000","Ananya","TCK0706016","2025-07-06 08:49:00.000000000","Medium",6,"Login Issue","Resolved","Phone"
\N,"Kavya","TCK0706017","2025-07-06 09:08:00.000000000","High",6,"Account Locked","Open","Email"
"2025-07-06 14:20:00.000000000","Arjun","TCK0706018","2025-07-06 09:11:00.000000000","Medium",7,"Payment Failure","Resolved","Chat"
"2025-07-07 17:31:00.000000000","Sneha","TCK0706019","2025-07-06 09:21:00.000000000","Medium",5,"Account Locked","Resolved","Web Form"
"2025-07-07 00:49:00.000000000","Arjun","TCK0706020","2025-07-06 10:08:00.000000000","Medium",6,"Login Issue","Resolved","Phone"
"2025-07-07 00:49:00.000000000","Arjun","TCK0706020","2025-07-06 10:08:00.000000000","Medium",6,"Login Issue","Resolved","Phone"
"2025-07-07 13:20:00.000000000","Rohit","TCK0706021","2025-07-06 10:18:00.000000000","Medium",5,"Payment Failure","Resolved","Email"
"2025-07-07 18:58:00.000000000","Kavya","TCK0706022","2025-07-06 11:30:00.000000000","Lw",6,"Feature Request","Resolved","Email"
"2025-07-08 07:16:00.000000000","Rohit","TCK0707000","2025-07-07 01:18:00.000000000","Medum",4,"Login Issue","Resolved","Phone"
"2025-07-07 19:43:00.000000000","Sneha","TCK0707002","2025-07-07 01:51:00.000000000","Lw",8,"Payment Failure","Resolved","Email"
"2025-07-08 08:31:00.000000000","Sneha","TCK0707003","2025-07-07 02:40:00.000000000","High",6,"Account Locked","Resolved","Web Form"
"2025-07-07 20:55:00.000000000","Sneha","TCK0707004","2025-07-07 03:12:00.000000000","High",1,"Account Locked","Resolved","Chat"
"2025-07-08 05:48:00.000000000","Arjun","TCK0707005","2025-07-07 03:30:00.000000000","High",2,"Payment Failure","Resolved","Phone"
"2025-07-07 06:46:00.000000000","Sneha","TCK0707006","2025-07-07 03:31:00.000000000","Medium",1,"Feature Request","Resolved","Phone"
"2025-07-08 08:47:00.000000000","Sneha","TCK0707007","2025-07-07 03:47:00.000000000","Low",7,"Account Locked","Resolved","Phone"
"2025-07-07 23:36:00.000000000","Rohit","TCK0707009","2025-07-07 04:21:00.000000000","Medum",5,"Login Issue","Resolved","Email"
"2025-07-08 01:59:00.000000000","Sneha","TCK0707010","2025-07-07 04:58:00.000000000","High",2,"Feature Request","Escalated","Chat"
\N,"Arjun","TCK0707011","2025-07-07 05:13:00.000000000","Medium",4,"Bug Report","Open","Web Form"
"2025-07-07 16:47:00.000000000","Kavya","TCK0707012","2025-07-07 05:36:00.000000000","Lw",5,"Payment Failure","Resolved","Web Form"
"2025-07-08 10:48:00.000000000","Kavya","TCK0707013","2025-07-07 05:58:00.000000000","Medium",6,"Bug Report","Resolved","Web Form"
"2025-07-08 16:40:00.000000000","Ananya","TCK0707014","2025-07-07 07:13:00.000000000","Medum",5,"Payment Failure","Escalated","Web Form"
"2025-07-07 10:21:00.000000000","Kavya","TCK0707016","2025-07-07 08:20:00.000000000","High",7,"Bug Report","Resolved","Web Form"
"2025-07-07 18:58:00.000000000","Rohit","TCK0707017","2025-07-07 10:07:00.000000000","Medium",5,"Bug Report","Resolved","Chat"
"2025-07-07 22:14:00.000000000","Ananya","TCK0707019","2025-07-07 10:32:00.000000000","Medium",2,"Payment Failure","Resolved","Email"
\N,"Ananya","TCK0707020","2025-07-07 10:41:00.000000000","Medium",8,"Account Locked","Open","Phone"
"2025-07-08 03:57:00.000000000","Arjun","TCK0707021","2025-07-07 10:57:00.000000000","Medium",8,"Payment Failure","Resolved","Chat"
"2025-07-09 02:30:00.000000000","Rohit","TCK0708000","2025-07-08 00:02:00.000000000","Low",4,"Account Locked","Resolved","Web Form"
"2025-07-08 17:24:00.000000000","Kavya","TCK0708001","2025-07-08 00:41:00.000000000","High",8,"Account Locked","Resolved","Web Form"
"2025-07-08 10:59:00.000000000","Rohit","TCK0708002","2025-07-08 01:13:00.000000000","Medium",8,"Account Locked","Resolved","Email"
\N,"Arjun","TCK0708003","2025-07-08 01:41:00.000000000","Medium",5,"Payment Failure","Open","Web Form"
"2025-07-08 22:01:00.000000000","Ananya","TCK0708004","2025-07-08 02:05:00.000000000","Lw",5,"Bug Report","Resolved","Chat"
"2025-07-08 15:50:00.000000000","Sneha","TCK0708005","2025-07-08 02:54:00.000000000","Low",4,"Payment Failure","Resolved","Web Form"
\N,"Sneha","TCK0708006","2025-07-08 03:20:00.000000000","Medium",4,"Account Locked","Open","Phone"
"2025-07-08 12:47:00.000000000","Rohit","TCK0708007","2025-07-08 03:24:00.000000000","Medum",4,"Feature Request","Resolved","Phone"
"2025-07-09 08:02:00.000000000","Arjun","TCK0708009","2025-07-08 03:42:00.000000000","Lw",2,"Payment Failure","Resolved","Email"
"2025-07-09 01:39:00.000000000","Arjun","TCK0708012","2025-07-08 04:15:00.000000000","Medum",5,"Account Locked","Resolved","Chat"
"2025-07-09 14:23:00.000000000","Arjun","TCK0708013","2025-07-08 04:25:00.000000000","Medium",1,"Feature Request","Resolved","Chat"
"2025-07-09 02:59:00.000000000","Arjun","TCK0708014","2025-07-08 04:40:00.000000000","High",7,"Account Locked","Resolved","Email"
"2025-07-09 15:57:00.000000000","Arjun","TCK0708015","2025-07-08 05:22:00.000000000","Medium",2,"Bug Report","Resolved","Chat"
"2025-07-08 16:45:00.000000000","Sneha","TCK0708017","2025-07-08 06:12:00.000000000","Medium",8,"Login Issue","Resolved","Web Form"
"2025-07-08 16:58:00.000000000","Sneha","TCK0708018","2025-07-08 06:12:00.000000000","Hgh",6,"Account Locked","Resolved","Chat"
"2025-07-09 10:33:00.000000000","Sneha","TCK0708019","2025-07-08 07:05:00.000000000","Medium",5,"Feature Request","Resolved","Phone"
"2025-07-08 12:57:00.000000000","Ananya","TCK0708020","2025-07-08 07:26:00.000000000","Medium",6,"Login Issue","Resolved","Email"
"2025-07-08 12:57:00.000000000","Ananya","TCK0708020","2025-07-08 07:26:00.000000000","Medium",6,"Login Issue","Resolved","Email"
"2025-07-09 10:29:00.000000000","Ananya","TCK0708021","2025-07-08 07:57:00.000000000","High",4,"Payment Failure","Resolved","Email"
"2025-07-09 12:56:00.000000000","Rohit","TCK0708022","2025-07-08 08:15:00.000000000","Medium",2,"Bug Report","Resolved","Email"
\N,"Rohit","TCK0708023","2025-07-08 10:11:00.000000000","Medium",3,"Bug Report","Open","Chat"
"2025-07-08 16:12:00.000000000","Arjun","TCK0708024","2025-07-08 10:42:00.000000000","Medium",4,"Login Issue","Resolved","Chat"
"2025-07-09 01:36:00.000000000","Sneha","TCK0708025","2025-07-08 11:07:00.000000000","High",6,"Payment Failure","Resolved","Web Form"
"2025-07-08 22:16:00.000000000","Rohit","TCK0708027","2025-07-08 11:54:00.000000000","Lw",8,"Payment Failure","Resolved","Chat"
"2025-07-08 22:16:00.000000000","Rohit","TCK0708027","2025-07-08 11:54:00.000000000","Lw",8,"Payment Failure","Resolved","Chat"
"2025-07-08 18:22:00.000000000","Arjun","TCK0708028","2025-07-08 11:56:00.000000000","High",3,"Login Issue","Resolved","Phone"
"2025-07-09 16:30:00.000000000","Arjun","TCK0709000","2025-07-09 00:20:00.000000000","Low",1,"Account Locked","Resolved","Phone"
"2025-07-09 16:30:00.000000000","Arjun","TCK0709000","2025-07-09 00:20:00.000000000","Low",1,"Account Locked","Resolved","Phone"
"2025-07-09 22:49:00.000000000","Rohit","TCK0709001","2025-07-09 00:22:00.000000000","Lw",6,"Bug Report","Resolved","Phone"
"2025-07-09 10:39:00.000000000","Kavya","TCK0709002","2025-07-09 00:35:00.000000000","High",4,"Feature Request","Resolved","Email"
\N,"Kavya","TCK0709003","2025-07-09 00:59:00.000000000","Medium",7,"Bug Report","Open","Phone"
"2025-07-09 04:12:00.000000000","Rohit","TCK0709006","2025-07-09 02:52:00.000000000","Low",5,"Login Issue","Resolved","Web Form"
"2025-07-09 05:53:00.000000000","Sneha","TCK0709008","2025-07-09 03:10:00.000000000","High",1,"Feature Request","Resolved","Phone"
"2025-07-10 07:59:00.000000000","Rohit","TCK0709009","2025-07-09 03:20:00.000000000","Low",3,"Account Locked","Resolved","Web Form"
"2025-07-09 13:56:00.000000000","Rohit","TCK0709010","2025-07-09 03:55:00.000000000","Hgh",2,"Bug Report","Resolved","Email"
\N,"Kavya","TCK0709011","2025-07-09 04:51:00.000000000","Low",5,"Login Issue","Open","Email"
"2025-07-10 07:32:00.000000000","Sneha","TCK0709012","2025-07-09 05:33:00.000000000","Medium",2,"Payment Failure","Resolved","Web Form"
\N,"Sneha","TCK0709013","2025-07-09 05:40:00.000000000","Medium",6,"Account Locked","Open","Email"
"2025-07-09 07:47:00.000000000","Sneha","TCK0709014","2025-07-09 05:45:00.000000000","High",3,"Login Issue","Resolved","Email"
"2025-07-10 15:51:00.000000000","Rohit","TCK0709015","2025-07-09 06:00:00.000000000","Medium",5,"Payment Failure","Resolved","Web Form"
\N,"Rohit","TCK0709016","2025-07-09 06:09:00.000000000","Medum",1,"Bug Report","Open","Email"
"2025-07-09 12:16:00.000000000","Sneha","TCK0709017","2025-07-09 06:20:00.000000000","Medum",7,"Account Locked","Resolved","Chat"
"2025-07-09 18:46:00.000000000","Rohit","TCK0709018","2025-07-09 06:32:00.000000000","Medum",1,"Login Issue","Resolved","Chat"
\N,"Ananya","TCK0709019","2025-07-09 07:26:00.000000000","High",8,"Account Locked","Open","Chat"
"2025-07-10 06:29:00.000000000","Arjun","TCK0709020","2025-07-09 07:36:00.000000000","Medium",1,"Login Issue","Resolved","Phone"
"2025-07-09 21:09:00.000000000","Rohit","TCK0709021","2025-07-09 08:37:00.000000000","Medum",1,"Feature Request","Resolved","Phone"
"2025-07-10 05:34:00.000000000","Ananya","TCK0709022","2025-07-09 09:00:00.000000000","Medium",8,"Feature Request","Resolved","Email"
\N,"Sneha","TCK0709024","2025-07-09 09:40:00.000000000","Medum",1,"Bug Report","Open","Chat"
\N,"Sneha","TCK0709026","2025-07-09 10:52:00.000000000","Low",8,"Bug Report","Open","Chat"
"2025-07-10 07:50:00.000000000","Rohit","TCK0709027","2025-07-09 11:27:00.000000000","Low",6,"Bug Report","Escalated","Chat"
"2025-07-10 19:39:00.000000000","Kavya","TCK0709028","2025-07-09 11:41:00.000000000","Medium",3,"Bug Report","Escalated","Phone"
"2025-07-10 02:00:00.000000000","Arjun","TCK0710000","2025-07-10 00:04:00.000000000","Medium",8,"Bug Report","Resolved","Chat"
"2025-07-11 08:40:00.000000000","Arjun","TCK0710001","2025-07-10 01:14:00.000000000","Medium",5,"Payment Failure","Escalated","Web Form"
"2025-07-10 23:53:00.000000000","Kavya","TCK0710003","2025-07-10 02:24:00.000000000","Low",6,"Payment Failure","Resolved","Email"
